phenotype	endpoint
Benign neoplasm: Mediastinum	CD2_BENIGN_MEDIASTINUM
Benign neoplasm: Liver/bile ducts	CD2_BENIGN_LIVE_BILE
Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites	CD2_BENIGN_LIPO_SKIN_NOS
Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	CD2_BENIGN_LIPO_SKIN_LIMBS
Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	CD2_BENIGN_LIPO_SKIN_HEADFACENECK
Benign neoplasm: Lip	CD2_BENIGN_LIP
Benign neoplasm: Larynx	CD2_BENIGN_LARYNX
Benign neoplasm of eye and adnexa	CD2_BENIGN_EYE
Benign neoplasm: Middle ear, nasal cavity and accessory sinuses	CD2_BENIGN_EAR_NASAL_SINUS
Benign neoplasm: Duodenum	CD2_BENIGN_DUODENUM
Benign neoplasm: Ill-defined sites within the digestive system	CD2_BENIGN_DIGESTIVE_NOS
Benign neoplasm: Descending colon	CD2_BENIGN_DESCENDING_COLON
Other benign neoplasm of uterus: Corpus uteri	CD2_BENIGN_CORPUS_UTERI
Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder	CD2_BENIGN_CONNSOFT_UPPERLIMB
Benign neoplasm: Connective and other soft tissue of thorax	CD2_BENIGN_CONNSOFT_THX
Benign neoplasm: Central nervous system, other parts/unspecified	CD2_BENIGN_CNS_NOS
Benign neoplasm: Choroid	CD2_BENIGN_CHOROID
Benign neoplasm: Caecum	CD2_BENIGN_CAECUM
Benign neoplasm: Short bones of upper limb	CD2_BENIGN_BONE_SHORT_UPPER
Benign neoplasm: Short bones of lower limb	CD2_BENIGN_BONE_SHORT_LOWER
Benign neoplasm: Scapula and long bones of upper limb	CD2_BENIGN_BONE_SCAPULA_LONG_UPPER
Benign neoplasm: Long bones of lower limb	CD2_BENIGN_BONE_LONG_LOWER
Benign neoplasm of bone and articular cartilage	CD2_BENIGN_BONE_CARTILAGE
Campylobacter enteritis	CAMPYLOENTERITIS
Malignant neoplasm of ureter, excluding all cancers (controls excluding all cancers)	C3_URETER_EXALLC
Follicular adenocarcinoma of thyroid gland, excluding all cancers (controls excluding all cancers)	C3_THYROID_FOLLICULAR_EXALLC
Malignant neoplasm of thymus, excluding all cancers (controls excluding all cancers)	C3_THYMUS_EXALLC
Neuroendocrine tumor and carcinoma of stomach, excluding all cancers (controls excluding all cancers)	C3_STOMACH_NEUROENDOCRINE_EXALLC
Adenocarcinoma of small intestine, excluding all cancers (controls excluding all cancers)	C3_SMALL_INTESTINE_ADENO_EXALLC
Small cell lung cancer, excluding all cancers (controls excluding all cancers)	C3_SCLC_EXALLC
Neuroendocrine tumor and carcinoma of pancreas, excluding all cancers (controls excluding all cancers)	C3_PANCREAS_NEUROENDOCRINE_EXALLC
Malignant neoplasm of oropharynx, excluding all cancers (controls excluding all cancers)	C3_OROPHARYNG_EXALLC
Malignant neoplasm of oral cavity, excluding all cancers (controls excluding all cancers)	C3_ORALCAVITY_EXALLC
Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)	C3_OESOPHAGUS_EXALLC
Malignant neoplasm of nasal cavity and sinuses, excluding all cancers (controls excluding all cancers)	C3_NASAL_CAVITY_SINUSES_EXALLC
Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS)	C3_MYELOMA_MONOCLONAL
Multiple myeloma, excluding all cancers (controls excluding all cancers)	C3_MULT_MYELOMA_EXALLC
Mesothelioma, excluding all cancers (controls excluding all cancers)	C3_MESOTHELIOMA_EXALLC
Marginal zone B-cell lymphoma, excluding all cancers (controls excluding all cancers)	C3_MARGINAL_ZONE_LYMPHOMA_EXALLC
Mantle cell lymphoma, excluding all cancers (controls excluding all cancers)	C3_MANTLE_CELL_LYMPHOMA_EXALLC
Malignant neoplasm of lip, excluding all cancers (controls excluding all cancers)	C3_LIP_EXALLC
Adenocarcinoma and Papillary adenocarcinoma of kidney, excluding all cancers (controls excluding all cancers)	C3_KIDNEY_PAPILLARYADENO_EXALLC
Malignant neoplasm of hypopharynx, excluding all cancers (controls excluding all cancers)	C3_HYPOPHARYNX_EXALLC
Chronic myeloid leukaemia, excluding all cancers (controls excluding all cancers)	C3_CML_EXALLC
Chondrosarcoma, excluding all cancers (controls excluding all cancers)	C3_CHONDROSARCOMA_EXALLC
Malignant neoplasm of cervix uteri, excluding all cancers (controls excluding all cancers)	C3_CERVIX_UTERI_EXALLC
Squamous cell neoplasms and carcinoma of cervix, excluding all cancers (controls excluding all cancers)	C3_CERVIX_SQUAM_EXALLC
Asthma mixed form (mode) (more control exclusions)	ASTHMA_MIXED_EXMORE
Other specific arthropathies, wide	ARTHRO_SPEC
Anaphylactic shock due to adverse effect of correct drug or medication properly administered	ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE
Acute alcohol intoxication, ICD10	ALCOHOLACUTE10
Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	AB1_VIRAL_SKIN_NOS
Other viral diseases, not elsewhere classified	AB1_VIRAL_NOS
Viral agents as the cause of diseases classified to other chapters	AB1_VIRAL_INOTHER
Tuberculosis, wide	AB1_TUBERCULOSIS
Sequelae of infectious and parasitic diseases	AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES
Scarlet fever	AB1_SCARLET_FEVER
Scabies	AB1_SCABIES
Other salmonella infections	AB1_SALMONELLA_OTH
Rubella [German measles]	AB1_RUBELLA
Relapsing fevers	AB1_RELAP_FEVER
Pediculosis, acariasis and other infestations	AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST
Unspecified parasitic disease	AB1_PARASITIC_NOS
Infection due to other mycobacteria	AB1_OTHER_MYCOBAC
Measles	AB1_MEASLES
Herpesviral [herpes simplex] infections	AB1_HERPES_SIMPLEX
Enterobiasis	AB1_ENTEROBIASIS
Cholera	AB1_CHOLERA
Previous suicide attempt	Z21_PREVIOUS_SUICIDE_ATTEMPT
Asymptomatic human immunodeficiency virus [HIV] infection status	Z21_ASYMP_HUMAN_IMMUNODEFICIENCY_VIRUS_HIV_INFECTION_STATUS
Vocal cord dysfunction	VOCALCORDDYS
Vitamin deficiency, wide	VIT_DEF
Viral pneumonia (unknown virus, not influenza)	VIRALPNEUMONAS
Viral pneumonia (known virus, not influenza)	VIRALPNEUMOKNOWN
Vascular dementia (sudden onset)	VD_SO
Vascular dementia (other)	VD_O
Vaginal lichen planus	VAGINAL_LICHEN_PLANUS
Covid-19 suspected case	U22_COVID19_SUSPECTED
Tracheo-bronchomalasia	TRACHEOBRONCHOMAL
Respiratory tuberculosis	TBC_RESP
Systemic disorders of connective tissue in diseases classified elsewhere (FG)	SYSTINOTH_FG
Toxic effect of alcohol	ST19_TOXIC_EFFECT_ALCOHOL
Fracture of spine, level unspecified	ST19_FRACT_SPINE_LEVEL_UNSPE
Fracture of skull and facial bones	ST19_FRACT_SKULL_FACIAL_BONES
Fractures involving multiple body regions	ST19_FRACT_INVOLVI_MULTIPLE_BODY_REGIONS
Other secondary gonarthrosis	SCND_OTH_KNEEARTHROSIS
Medical treatment for female infertility	RX_INFERTILITY
Rheumatoid lung disease	RHEUMAT_LUNG
Undescended testicle	Q17_UNDES_TESTICLE
Syndactyly	Q17_SYNDACTYLY
Spina bifida	Q17_SPINA_BIFIDA
Right ventricular outflow tract obstruction	Q17_RVOTO
Renal agenesis and other reduction defects of kidney	Q17_RENAL_AGENE_OTHER_REDUCT_DEFECTS_KIDNEY
Reduction defects of upper limb	Q17_REDUCT_DEFECTS_UPPER_LIMB
Reduction defects of lower limb	Q17_REDUCT_DEFECTS_LOWER_LIMB
Isolated patent ductus arteriosus	Q17_PDA
Other sex chromosome abnormalities, male phenotype, not elsewhere classified	Q17_OTHER_SEX_CHROMOSOME_ABNORMALITI_MALE_PHENOT_NOT_ELSEW_CLASSIFIED
Other osteochondrodysplasias	Q17_OTHER_OSTEOCHONDROD
Other congenital musculoskeletal deformities	Q17_OTHER_CONGEN_MUSCULOS_DEFORMITI
Other congenital malformations of urinary system	Q17_OTHER_CONGEN_MALFO_URINARY_SYSTEM
Other congenital malformations of skull and face bones	Q17_OTHER_CONGEN_MALFO_SKULL_FACE_BONES
Other congenital malformations of respiratory system	Q17_OTHER_CONGEN_MALFO_RESPI_SYSTEM
Other congenital malformations of peripheral vascular system	Q17_OTHER_CONGEN_MALFO_PERIP_VASCULAR_SYSTEM
Other congenital malformations, not elsewhere classified	Q17_OTHER_CONGEN_MALFO_NOT_ELSEW_CLASSIFIED
Other congenital malformations of male genital organs	Q17_OTHER_CONGEN_MALFO_MALE_GENITAL_ORGANS
Other congenital malformations of limb(s)	Q17_OTHER_CONGEN_MALFO_LIMBS
Other congenital malformations of kidney	Q17_OTHER_CONGEN_MALFO_KIDNEY
Other congenital malformations of intestine	Q17_OTHER_CONGEN_MALFO_INTESTINE
Other congenital malformations of female genitalia	Q17_OTHER_CONGEN_MALFO_FEMALE_GENITALIA
Other congenital malformations of face and neck	Q17_OTHER_CONGEN_MALFO_FACE_NECK
Other congenital malformations of digestive system	Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM2
Other congenital malformations of brain	Q17_OTHER_CONGEN_MALFO_BRAIN
Neurofibromatosis, type 1	Q17_NEUROFIBROMATOSIS_1
Monosomies and deletions from the autosomes, not elsewhere classified	Q17_MONOSOMI_DELET_AUTOSOMES_NOT_ELSEW_CLASSIFIED
Mastocytosis	Q17_MASTOCYTOSIS
Marfan's syndrome	Q17_MARFAN
Hypospadias	Q17_HYPOSPADIAS
Epidermolysis bullosa	Q17_EPIDERMOL_BULLOSA
Down's syndrome	Q17_DOWNS_SYNDR
Craniosynostosis EXCLUDE syndromes	Q17_CRANIOSYNOSTOSIS
Congenital obstructive defects of renal pelvis and congenital malformations of ureter	Q17_CONGEN_OBSTRUCTIVE_DEFECTS_RENAL_PELVIS_CONGEN_MALFO_URETER
Congenital musculoskeletal deformities of head, face, spine and chest	Q17_CONGEN_MUSCULOS_DEFORMITI_HEAD_FACE_SPINE_CHEST
Congenital malformations of uterus and cervix	Q17_CONGEN_MALFO_UTERUS_CERVIX
Congenital malformations of spine and bony thorax	Q17_CONGEN_MALFO_SPINE_BONY_THORAX
Congenital malformations of the respiratory system	Q17_CONGEN_MALFO_RESPI_SYSTEM
Congenital malformations of oesophagus	Q17_CONGEN_MALFO_OESOPHAGUS
Congenital malformations of nose	Q17_CONGEN_MALFO_NOSE
Congenital malformations of lung	Q17_CONGEN_MALFO_LUNG
Congenital malformations of larynx	Q17_CONGEN_MALFO_LARYNX
Congenital malformations of eye, ear, face and neck	Q17_CONGEN_MALFO_EYE_EAR_FACE_NECK
Congenital malformations of eyelid, lacrimal apparatus and orbit	Q17_CONGEN_MALFO_EYELID_LACRIMAL_APPARA_ORBIT
Congenital malformations of ear causing impairment of hearing	Q17_CONGEN_MALFO_EAR_CAUSI_IMPAIRM_HEARING
Congenital malformations of cardiac chambers and connections	Q17_CONGEN_MALFO_CARDIAC_CHAMB_CONNECTIO
Congenital malformations of breast	Q17_CONGEN_MALFO_BREAST
Congenital malformation of biliary tract	Q17_CONGEN_MALFO_BILI
Congenital lens malformations	Q17_CONGEN_LENS_MALFO
Congenital deformities of hip	Q17_CONGEN_DEFORMITI_HIP
Congenital absence, atresia and stenosis of large intestine	Q17_CONGEN_ABSENCE_ATRES_STENO_LARGE_INTESTINE
Complex cardiac defects	Q17_COMPLEX_CARD_DEFEC
Cleft lip	Q17_CLEFT_LIP
Atrioventricular septal defect	Q17_AVSD
Abnormal pulmonary venous return	Q17_APVR
Pneumococcal septicemia	PNEUMO_SEPTHICHE
Phlebitis and thrombophlebitis of superficial vessels of lower extremities, drug-induced	PHLEBI_THROMBOP_SUPERF_VESSE_LOWER_EXTREMITI
Phlebitis and thrombophlebitis of other deep vessels of lower extremities, drug-induced	PHLEBI_THROMBOP_OTHER_DEEP_VESSE_LOWER_EXTREMITI
Phantom limb syndrome with pain	PHANTOMLIMB
Transitory disorders of carbohydrate metabolism specific to fetus and newborn	P16_TRANSITO_DISORD_CARBOH_METABOLISM_SPECIFIC_FETUS_NEWBO
Slow fetal growth and fetal malnutrition	P16_SLOW_FETAL_GROWTH_FETAL_MALNUTRITION
Respiratory distress of newborn	P16_RESPI_DISTR_NEWBO
Respiratory and cardiovascular disorders specific to the perinatal period	P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD
Other perinatal haematological disorders	P16_OTH_PERINA_HAEMATOL_DISORD
Other infections specific to the perinatal period	P16_OTH_INFECTIONS_SPECIFIC_PERINA_PERIOD
Other disorders originating in the perinatal period	P16_OTH_DISORD_ORIGINA_PERINA_PERIOD
Neonatal jaundice from other and unspecified causes	P16_NEONTAL_JAUND_OTH_UNSP_CAUSES
Infections specific to the perinatal period	P16_INFECTIONS_SPECIFIC_PERINA_PERIOD
Fetus and newborn affected by other complications of labour and delivery	P16_FET_NEWB_OTH_COMPLICATIO_LABOUR_DELIV
Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery	P16_FET_NEWB_MATERN_FACTO_COMPLICATIO_PREGNAC_LABOUR_DELIV
Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy	P16_FET_NEWB_MATERN_COND_UNREL_PRESENT_PREGNAC
Fetus and newborn affected by maternal complications of pregnancy	P16_FET_NEWB_MATERN_COMPLICATIO_PREGNAC
Fetus and newborn affected by complications of placenta, cord and membranes	P16_FET_NEWB_COMPLICATIO_PLACEN_CORD_MEMBRANES
Fetal death of unspecified cause	P16_FETAL_DEATH_UNSP_CAUSE
Feeding problems of newborn	P16_FEEDI_PROBL_NEWBO
Disorders related to long gestation and high birth weight	P16_DISORD_RELATED_LONG_GESTATION_HIGH_BIRTHWGHTT
Disorders of muscle tone of newborn	P16_DISORD_MUSCLE_TONE_NEWBO
Chronic respiratory disease originating in the perinatal period	P16_CHRONIC_RESPI_DISEA_ORIGINA_PERINA_PERIOD
Cardiovascular disorders originating in the perinatal period	P16_CARDIOV_DISORD_ORIGINA_PERINA_PERIOD
Birth trauma	P16_BIRTH_TRAUMA
Birth injury to peripheral nervous system	P16_BIRTHINJY_PERIP_NERVOUS_SYSTEM
Drug-induced osteoporosis with pathological fracture	OSTPOPATFRACTURE
Puerperal sepsis	O15_PUERP_SEPSIS
Hydatidiform mole	O15_PREG_HYDAT
Complications of anaesthesia during pregnancy	O15_PREG_ANESTH_COMPL
Pre-eclampsia superimposed on chronic hypertension	O15_PREECLAMPS_CHRONIC_HYPERT
Postpartum haemorrhage due to anatomy	O15_POSTPART_HAEMORRH_ANATOMY
Poor fetal growth	O15_POOR_FETGRO
Polyhydramnios	O15_POLYHYDR
Premature separation of placenta [abruptio placentae]	O15_PLAC_PREMAT_SEPAR
Placental disorders	O15_PLAC_DISORD
Complications specific to multiple gestation	O15_MULTIP_GEST_COMPLIC
Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and  the puerperium	O15_MATERN_INFECT_ELSEWHERE
Unspecified maternal hypertension	O15_MATERN_HYPERT_UNS
Maternal care for known or suspected fetal abnormality and damage	O15_MATERN_CARE_FETAL_ABNORM
Maternal care related to the fetus and amniotic cavity and possible delivery problems	O15_MATERN_CARE
Labour and delivery complicated by umbilical cord complications	O15_LABOUR_UMBILICAL
Obstructed labour due to malposition and malpresentation of fetus	O15_LABOUR_MALPOS
Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified	O15_LABOUR_INTRAPART_HAEMORRH
Haemorrhage in early pregnancy	O15_HAEMORRH_EARLY_PREG
Eclampsia	O15_ECLAMPSIA
Multiple delivery	O15_DELIV_MULTIP
Complications predominantly related to the puerperium	O15_COMPLIC_PUERP
Complications of labour and delivery	O15_COMPLIC_LAB_DELIV
Infections of breast associated with childbirth	O15_BIRTH_BREAT_INFECT
Abnormal findings on antenatal screening of mother	O15_ANTENAT_ABNORM
Unspecified abortion	O15_ABORT_UNS
Spontaneous abortion	O15_ABORT_SPONTAN
Other abortion	O15_ABORT_OTHER
Failed attempted abortion	O15_ABORT_FAILED
Nephropathy induced by other drugs, medicaments and biological substances	NEPHROP_INDUCED_OTHER_DRUGS_MEDICAM_BIOLO_SUBST
Vulvovaginal ulceration/inflammation in other diseases	N14_VULVOVAGINFINOTH
Dysplastic lesion of the vulva of unknown severity	N14_VULVAL_DYSPLASIA_NOS
LSIL lesion of the vagina	N14_VAGINAL_LSIL
HSIL lesion of the vagina	N14_VAGINAL_HSIL
Uterine polyps	N14_UTER_POLYP
Unspecified contracted kidney	N14_UNSPECKIDCONTR
Tubulo-interstitial nephritis, not specified as acute or chronic	N14_TUBULOINTNEPHRNAS
Torsion of testis	N14_TORSIOTEST
Unspecified kidney failure	N14_RENFAILNAS
Other renal tubulo-interstitial diseases	N14_RENALTUBULOOTH
Renal tubulo-interstitial disorders in diseases classified elsewhere	N14_RENALTUBULOINOTH
Unspecified renal colic	N14_RENALCOLNAS
Recurrent and persistent haematuria	N14_RECURANDPERHEAMATUR
Rapidly progressive nephritic syndrome	N14_RAPIDPROGNEPHRITIC
Inflammatory diseases of prostate (prostatitis)	N14_PROSTATITIS
Prolapse and hernia of ovary and fallopian tube	N14_PROHERNOV
Premenstrual syndrome	N14_PREMENSTSYNDROM
Postmenopausal atrophic vaginitis	N14_POSTMENATRVAG
Ovarian hyperstimulation (induction)	N14_OVAR_HYPERSTIM
Torsion of ovary, ovarian pedicle and fallopian tube	N14_OVARTORS
Other disorders of penis	N14_OTHPENIS
Other noninflammatory disorders of vulva and perineum	N14_OTHNONINFVULV
Other inflammation of vagina/vulva	N14_OTHINFVAGVULV
Other disorders of male genital organs	N14_OTHDISMALEGEN
Other disorders of  bladder	N14_OTHBLADD
Orchitis and epididymitis	N14_ORHCEPINDIDYMITIS
Neuromuscular dysfunction of bladder	N14_NEUROMUSCDYSBLADD
Hereditary nephropathy, not elsewhere classified	N14_NEPHROPATHYHER
Unspecified nephritic syndrome	N14_NEPHRITICNAS
Male infertility	N14_MALEINFERT
Disorders of male genital organs in diseases classified elsewhere	N14_MALEGENINOTH
Haematosalpinx/Haematoma of broad ligament	N14_MAEMABROAD
Isolated proteinuria with specified morphological lesion	N14_ISOLPROTEINURIA
Inflammatory disease of uterus	N14_INFLUTH
Inflammatory disorders of male genital organs, not elsewhere classified	N14_INFLAMALEGEN
Inflammatory disease of cervix uteri	N14_INFCERVIX
Impotence	N14_IMPOTENCE
Habitual aborter	N14_HABITABORT
Female infertility, uterine origin	N14_FIUTERINE
Female pelvic inflammatory disorders in diseases classified elsewhere	N14_FEMPELINFINOTH
Fistulae involving female genital tract	N14_FEMGENFISTUL
Dysplastic lesion of unknown severity in the cervix uteri, vagina or vulva	N14_FEMALE_GENITAL_DYSPLASIA_NOS
Endometriosis in cutaneous scar	N14_ENDOMETRIOSIS_SKIN_SCAR
Endometriosis of fallopian tube	N14_ENDOMETRIOSIS_FALLOPIAN_TUBE
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions	N14_DRUGSANDHEAVYMETAL
Disorders resulting from impaired renal tubular function	N14_DISIMPAIRRENTUB
Chronic tubulo-interstitial nephritis	N14_CHRONTUBULOINTNEPHRITIS
Dysplastic lesion of unknown severity of the cervix uteri	N14_CERVICAL_DYSPLASIA_NOS
Cyst of Bartholin Gland	N14_BARTHOCYS
Abscess of Bartholin gland	N14_BARTHOABSCESS
Acquired atrophy of ovary and fallopian tube	N14_ATROPHOV
Amenorrhoea	N14_AMENORRHEAPRIM
Acute nephritic syndrome	N14_ACUTENEPHRITIC
Migraine, unspecified, drug-induced	MIGRAINE_UNSPE
Meningitis	MENINGITIS
Maternal care for (suspected) damage to fetus from alcohol	MATERNCAREFETUSALCO
Degenerative macular diseases, drug-induced	MACULA_NAS_ADVERSE
Villonodular synovitis (pigmented)	M13_VILLONODULAR
Collapsed vertebra, not elsewhere classified	M13_VERTEBCOLLAPSE
Varus deformity, not elsewhere classified	M13_VARUS
Transient synovitis	M13_TRANSSYNOVITIS
Chondrocostal junction syndrome [Tietze]	M13_TIETZE
Oher contracture of tendon (sheath)	M13_TENDONCONTRACT
Aortic arch syndrome [Takayasu]	M13_TAKAYASU
Systemic disorders of connective tissue in diseases classified elsewhere	M13_SYSTCONINOTH
Disorders of synovium and tendon in diseases classified elsewhere	M13_SYNOTENDINOTH
Synovial hypertrophy, not elsewhere classified	M13_SYNOHYPERTROPH
Traumatic spondylopathy	M13_SPONDYLOTRAUM
Spondylopathies in diseases classified elsewhere	M13_SPONDYLOPATHINOTH
Other infective spondylopathies	M13_SPONDYLOINFECTION
Spinal enthesopathy	M13_SPINENTHES
Other fusion of spine	M13_SPINEFUSION
Other specified/unspecified soft tissue disorders	M13_SOFTTISSUENAS
Short Achilles tendon (acquired)	M13_SHORTACHILLES
Other rupture of muscle	M13_RUPTUREMUSC
Relapsing polychondritis	M13_RELAPSPOLYCHONDR
Recurrent dislocation and subluxation of joint	M13_RECUDISLOCATIO
Prepatellar bursitis	M13_PREPATELLARBURSITIS
Other conditions related to polyarteritis nodosa	M13_POYARTOTH
Postprocedural musculoskeletal disorders, not elsewhere classified	M13_POSTOPMUSCULOSKE
Polyarteritis nodosa and related conditions	M13_POLYARTERETAL
Peroneal tendinitis	M13_PERONEALTEND
Recurrent dislocation of patella	M13_PATELLADISLOCATIO
Panniculitis, unspecified	M13_PANNICULITISNAS
Paget disease	M13_PAGET
Other/unspecified soft tissue disorders related to use, overuse and pressure	M13_OVERUSENAS
Other specific arthropathies	M13_OTERSPECARTHR
Osteopathy in diseases classified elsewhere	M13_OSTEOPATHYINOTH
Osteonecrosis	M13_OSTEONECROSIS
Osteomyelitis of vertebra	M13_OSTEOMYELVERTEB
Osteomalacia	M13_OSTEOMALACIA
Other osteochondropathies	M13_OSTEOCHONDROPATHY
Olecranon bursitis	M13_OLECRANONBURSITIS
Other specified/unspecified necrotizing vasculopathies	M13_NECROVASCNAS
Necrotizing fasciitis	M13_NECROFASC
Myositis ossificans	M13_MYOSITISOSSIF
Myalgia	M13_MYALGIA
Contracture of muscle	M13_MUSCONTRAC
Other specified disorders of muscle	M13_MUSCLEDISNAS
Muscle wasting and atrophy, not elsewhere classified	M13_MUSCLEATROPH
Multifocal fibrosclerosis	M13_MULTIFIBRO
Metatarsalgia	M13_METATARSALGIA
Medial epicondylitis	M13_MEDIALEPICOND
Lordosis	M13_LORDOSIS
Unequal limb length (acquired)	M13_LIMBLENGTH
Other specified acquired deformities of limbs	M13_LIMBDEFORM
Kyphosis	M13_KYPHOSIS
Knuckle pads	M13_KNUCKLEPADS
Kissing spine	M13_KISSING
Mucocutaneous lymph node syndrome [Kawasaki]	M13_KAWASAKI
Intermittent hydrarthrosis	M13_INTERHYDRARTHR
Other infective (teno)synovitis	M13_INFTENOSYNOVITIS
Infective bursitis	M13_INFBURSA
Hypersensitivity angiitis	M13_HYPERANG
Thrombotic microangiopathy	M13_HTROMBMICROANG
Other deformity of hallux (acquired)	M13_HALLUDEFORMOTH
Gluteal tendinitis	M13_GLUTEALTEND
Ankylosing hyperostosis [Forestier]	M13_FORESTIER
Residual foreign body in soft tissue	M13_FOREIGNBODY
Deformity of finger(s)	M13_FINGERDEFORM
Fibromyalgia	M13_FIBROMYALGIA
Other fibroblastic disorders	M13_FIBROBLASTNAS
Fatigue fracture of vertebra	M13_FATIGFRACT
Other/unspecified enthesopathies of lower limb, excluding foot	M13_ENTESOPATHYLOWNAS
Other specified/unspecified dorsopathies	M13_DORSOPATHYNAS
Discitis, unspecified	M13_DISCITIS
Diffuse (eosinophilic) fasciitis	M13_DIFFASCITIS
Dermatopolymyositis, unspecified	M13_DERMATOPOLYNAS
Other dermatomyositis	M13_DERMATOMYOTH
Other acquired deformities of musculoskeletal system and connective tissue	M13_DEFORMACQ
Other crystal arthropathies	M13_CRYSTALARTH
Contracture of joint	M13_CONTRACTUREJOINT
Acquired clawhand, clubhand, clawfoot and clubfoot	M13_CLAWCLUBHANDFOOT
Chronic crepitant synovitis/bursitis of hand and wrist/periarthritis of wrist	M13_CHRONSYNOVITISHANDWRIST
Chondropathies	M13_CHRONDROPATHIES
Chondromalacia	M13_CHONDROMALACIA
Cervicocranial syndrome	M13_CERVICOCRANSDR
Cervicalgia	M13_CERVICALGIA
Calcific tendinitis	M13_CALCTENDINITIS
Calcification and ossification of muscle	M13_CALCIOSSIMUSCLE
Calcium deposit in bursa	M13_CALCBURS
Calcaneal spur	M13_CALCANSPUR
Other bursopathies	M13_BURSOPATHY
Other bursitis of knee	M13_BURSITISKNEEOTH
Other bursitis of hip	M13_BURSITISHIPOTH
Other bursitis of elbow	M13_BURSELBOWOTH
Hypertrophy of bone	M13_BONEHYPERTRPH
Other specified/unspecified disorders of  bone/cartilage	M13_BONEDISNAS
Other disorders of bone density and structure	M13_BONEDENSOTH
Disorders of continuity of bone	M13_BONECONTINUITY
Behçet disease	M13_BEHCET
Ankylosis of joint	M13_ANKYLOSISJOINT
Other acquired deformities of ankle and foot	M13_ANKLEFOOT
Lichenoid drug reaction	LICHENOID_DRUG_REACTION
Xerosis cutis	L12_XEROSCUT
Other and unspecified vasculitis limited to skin	L12_VASCULITISNAS
Contact urticaria	L12_URTIGA_CONTACT
Idiopathic urticaria	L12_URTICA_IDIOPAT
Urticaria due to cold and heat	L12_URTICA_COLDHEAT
Cholinergic urticaria	L12_URTICA_CHOLINERG
Telogen effluvium	L12_TELOGEFFLU
Sunburn	L12_SUNBURN
Striae atrophicae	L12_STRIAEATROPHICAE
Other and unspecified disorders of skin and subcutaneous tissue	L12_SKINSUBCUTISNAS
Other disorders of skin and subcutaneous tissue related to radiation	L12_SKINRADIOTH
Scar conditions and fibrosis of skin	L12_SCARCONDITIONS
Radiodermatitis	L12_RADIODERMATITIS
Pyoderma	L12_PYODERMA
Acrodermatitis continua	L12_PSORI_ACRODERM
Pruritus	L12_PRURITUS
Poikiloderma of Civatte	L12_POIKOLOCIVAT
Pityriasis rosea	L12_PITYROCHEA
Pityriasis rubra pilaris	L12_PITYRIASISRUBRA
Pigmented purpuric dermatosis	L12_PIGPURPDERM
Other and unspecified disorders of pigmentation	L12_PIGMENTNAS
Severe bullous disorders, KELA reimbursement	L12_PEMPHIKELA
Pemphigus vulgaris	L12_PEMPHIGUS_VULG
Other and unspecified pemphigus	L12_PEMPHIGUS_NAS
Cicatricial pemphigoid	L12_PEMPHIGOID_CICA
Other and unspecified parapsoriasis	L12_PARAPSO_RETIFORM
Small plaque parapsoriasis	L12_PARAPSO_PLAQUE
Pityriasis lichenoides et varioliformis acuta	L12_PARAPSO_PITYLICHETVARACUT
Pityriasis lichenoides chronica	L12_PARAPSO_PITYLICHCHRON
Parapsoriasis	L12_PARAPSORI
Other disorders of pigmentation	L12_OTHPIGMENTATION
Other and unspecified bullous disorders	L12_OTHERBULL
Other and unspecified acute skin changes due to ultraviolet radiation	L12_OTHACUSKINSUNNAS
Onycholysis	L12_NAIL_LYSIS
Onychogryphosis	L12_NAIL_GRYPHOSIS
Nail dystrophy	L12_NAIL_DYSTROPHY
Other and unspecified nail disorders	L12_NAILNAS
Livedoid vasculitis	L12_LIVEDOIDVASC
Lichen planopilaris	L12_LICHENPLANO
Other local infections of skin and subcutaneous tissue	L12_INFECT_SKIN_OTHER
Impetigo	L12_IMPETIGO
Other and unspecified hypertrophic disorders of skin	L12_HYPERTROPHICNAS
Other hypertrichosis	L12_HYPERTICHNAS
Hirsutism, drug-induced	L12_HIRSUTISM_ADVERSE
Other and unspecified cicatricial alopecia	L12_HAIRLOSS_SCARNAS
Other and unspecified nonscarring hair loss	L12_HAIRLOSS_NONSCARNAS
Other nonscarring hair loss	L12_HAIRLOSSNONSCAR
Hair colour and hair shaft abnormalities	L12_HAIRCOLOUR
